generation, mean_fitness, parameter, parameter_value
12, 23.763426041672826, pop_size, 11
13, 26.782206530663892, pop_size, 11
14, 26.73419682210822, pop_size, 11
15, 28.811798954636195, pop_size, 11
16, 28.98097486734288, pop_size, 11
17, 29.672295356791153, pop_size, 11
18, 31.140087286577955, pop_size, 11
19, 32.06837420970993, pop_size, 11
0, 4.799134788644213, pop_size, 12
1, 8.114521292560072, pop_size, 12
2, 10.075251553822401, pop_size, 12
3, 9.349542521135119, pop_size, 12
4, 11.087719074921326, pop_size, 12
5, 11.473260681589018, pop_size, 12
6, 12.452059748621288, pop_size, 12
7, 12.26832741277889, pop_size, 12
8, 15.067377958131042, pop_size, 12
9, 16.486506197624315, pop_size, 12
10, 17.97831151655436, pop_size, 12
11, 18.59238313111849, pop_size, 12
12, 19.041906293719595, pop_size, 12
13, 19.375387450888912, pop_size, 12
14, 20.1984973252971, pop_size, 12
15, 21.39345305903716, pop_size, 12
16, 21.894766018795938, pop_size, 12
17, 24.234176700111234, pop_size, 12
18, 23.89100829821369, pop_size, 12
19, 24.46243976697834, pop_size, 12
0, 4.964059228009052, pop_size, 13
1, 5.384376211419669, pop_size, 13
2, 10.772237260317414, pop_size, 13
3, 9.432566378194752, pop_size, 13
4, 12.709954226614004, pop_size, 13
5, 12.223082479234973, pop_size, 13
6, 14.064110235713136, pop_size, 13
7, 14.72991223277577, pop_size, 13
8, 15.46117168168688, pop_size, 13
9, 15.196500558251127, pop_size, 13
10, 17.070242600697515, pop_size, 13
11, 18.96309438803218, pop_size, 13
12, 19.002874058368295, pop_size, 13
13, 20.27707722573464, pop_size, 13
14, 20.103020112075704, pop_size, 13
15, 21.209775466339977, pop_size, 13
16, 22.55972178800164, pop_size, 13
17, 23.185475047673133, pop_size, 13
18, 24.912117078600886, pop_size, 13
19, 25.733276226187435, pop_size, 13
0, 5.841864280177721, pop_size, 14
1, 5.802102938500544, pop_size, 14
2, 10.612545705332932, pop_size, 14
3, 11.721656729316107, pop_size, 14
4, 10.123358053507605, pop_size, 14
5, 10.783254720223784, pop_size, 14
6, 10.230843217100162, pop_size, 14
7, 14.04621332511094, pop_size, 14
8, 14.549602996031057, pop_size, 14
